Samsung,"Samsung Galaxy A32 5G - AT&T PREPAID - 64GB ",279.99,279.99,"Galaxy A32 5G",//www.att.com/catalog/en/skus/images/samsung-galaxy%20a32%205g-awesome%20black-450x350.png,sku1240057,//www.att.com/cellphones/samsung/samsung-galaxy-a32-5g-att-prepaid.html#sku=sku1240057,"Samsung Galaxy A32 5G - AT&T PREPAID",900000019,4.1831,prod10310280,pda,/shopmobile/cellphones/samsung/samsung-galaxy-a32-5g-att-prepaid.html#sku=sku1240057,//www.att.com/cellphones/samsung/samsung-galaxy-a32-5g-att-prepaid.html#sku=sku1240057,"The Samsung Galaxy A32 5G<sup>1</sup> has a 6.5-inch HD+ Infinity-V display, a long-lasting, fast charging battery, expandable memory, and a quad rear camera system. Enjoy awesome features and more while you stay connected with AT&T 5G. Fast. Reliable. Secure.",279.99,//www.att.com/buy/prepaid-phones/samsung-galaxy-a32-5g-64gb-awesome-black-prepaid.html
Motorola,"motorola one 5G ace - AT&T PREPAID - 64GB ",259.99,259.99,"motorola one 5G ace",//www.att.com/catalog/en/skus/images/motorola-motorola%20one%205g%20ace-volcanic%20gray-450x350.png,sku1220007,//www.att.com/cellphones/motorola/motorola-one-5g-ace-prepaid.html#sku=sku1220007,"motorola one 5G ace - AT&T PREPAID",900000022,4.2787,prod10280287,pda,/shopmobile/cellphones/motorola/motorola-one-5g-ace-prepaid.html#sku=sku1220007,//www.att.com/cellphones/motorola/motorola-one-5g-ace-prepaid.html#sku=sku1220007,"motorola one 5G ace is here which could only mean one thing. Superfast 5G speed for all. Enjoy movies that download in seconds, ultra-clear video chats, and games without the wait.",259.99,//www.att.com/buy/prepaid-phones/motorola-one-5g-ace-prepaid.html
Netgear,"Nighthawk LTE Mobile Hotspot Router ",249.99,249.99,"Nighthawk LTE Mobile Hotspot Router",//www.att.com/catalog/en/skus/images/netgear-nighthawk%20lte%20mobile%20hotspot%20router-steel%20gray-450x350.png,sku8820339,//www.att.com/devices/netgear/nighthawk-lte-mobile-hotspot-router.html#sku=sku8820339,"Nighthawk LTE Mobile Hotspot Router",98118,3.8648,prod9260222,network,/shopmobile/devices/netgear/nighthawk-lte-mobile-hotspot-router.html#sku=sku8820339,//www.att.com/devices/netgear/nighthawk-lte-mobile-hotspot-router.html#sku=sku8820339,"The Nighthawk® LTE Mobile Hotspot Router upgrades the mobile Wi-Fi experience with fast media streaming & sharing, long lasting battery, data offloading, and more. (Requires data connection and may incur charges. AT&T coverage not available everywhere.)",249.99,//www.att.com/buy/connected-devices-and-more/netgear-nighthawk-lte-mobile-hotspot-router-512gb-steel-gray.html
Samsung,"Samsung Galaxy A52 5G - 128GB ",499.99,499.99,"Galaxy A52 5G",//www.att.com/catalog/en/skus/images/samsung-galaxy%20a52%205g-awesome%20black-450x350.png,sku1230012,//www.att.com/cellphones/samsung/samsung-galaxy-a52-5g.html#sku=sku1230012,"Samsung Galaxy A52 5G",33151,4.3887,prod10290283,pda,/shopmobile/cellphones/samsung/samsung-galaxy-a52-5g.html#sku=sku1230012,//www.att.com/cellphones/samsung/samsung-galaxy-a52-5g.html#sku=sku1230012,"The Samsung Galaxy A52 5G has a 6.5-inch FHD+ 120Hz Infinity-O display, is water resistant<sup>1</sup>, and has an awesome quad camera system to capture those precious moments. Be awesome, be creative, and be connected with AT&T 5G. Fast. Reliable. Secure.",499.99,//www.att.com/buy/phones/samsung-galaxy-a52-5g-128gb-awesome-black.html
HARMAN,"HARMAN Spark ",99.99,99.99,Spark,//www.att.com/catalog/en/skus/images/harman-spark-black-450x350.png,sku1160069,//www.att.com/devices/harman/harman-spark-20.html#sku=sku1160069,"HARMAN Spark",9833,2.8,prod10200252,network,/shopmobile/devices/harman/harman-spark-20.html#sku=sku1160069,//www.att.com/devices/harman/harman-spark-20.html#sku=sku1160069,"HARMAN Spark is an easy to use connected car device and app that provides Impact Detection, Vehicle Health, Location Based Services and more. It can also turn your car into a powerful Wi-Fi hotspot.",99.99,//www.att.com/buy/connected-devices-and-more/harman-spark-black.html
Samsung,"Samsung Galaxy A13 5G - 64GB ",249.99,249.99,"Galaxy A13 5G",//www.att.com/catalog/en/skus/images/samsung-galaxy%20a13%205g-black-450x350.png,sku2410291,//www.att.com/cellphones/iphone/apple-iphone-13.html#sku=sku2360526,"Samsung Galaxy A13 5G",900000041,4.1429,prod10410313,pda,/shopmobile/cellphones/iphone/apple-iphone-13.html#sku=sku2360526,//www.att.com/cellphones/iphone/apple-iphone-13.html#sku=sku2360526,"Experience the power of AT&T 5G<sup>1</sup> with the new Samsung Galaxy A13 5G. Connect, stream and share throughout the day with its fast-charging<sup>2</sup> battery. Capture high resolution photos with the triple rear camera. Enjoy your favorite videos and games in a 6.5-inch, edge-to-edge display and 90 Hz refresh rate that makes scrolling feel smooth.",249.99,//www.att.com/buy/phones/samsung-galaxy-a13-5g-64gb-black.html
Samsung,"Samsung Galaxy S22 Ultra - 128GB ",1199.99,1199.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-green-450x350.png,sku2490239,//www.att.com/tablets/ipad/apple-ipad-pro-11-inch-2021.html#sku=sku1240032,"Samsung Galaxy S22 Ultra",0,0,prod10490236,pda,/shopmobile/tablets/ipad/apple-ipad-pro-11-inch-2021.html#sku=sku1240032,//www.att.com/tablets/ipad/apple-ipad-pro-11-inch-2021.html#sku=sku1240032,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1199.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-128gb-green.html
Samsung,"Samsung Galaxy S22 Ultra - 512GB ",1299.99,1299.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-phantom%20black-450x350.png,sku2490238,//www.att.com/tablets/ipad/apple-ipad-pro-11-inch-2021.html#sku=sku1240033,"Samsung Galaxy S22 Ultra",1577908,0,prod10490234,pda,/shopmobile/tablets/ipad/apple-ipad-pro-11-inch-2021.html#sku=sku1240033,//www.att.com/tablets/ipad/apple-ipad-pro-11-inch-2021.html#sku=sku1240033,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1299.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-512gb-phantom-black.html
AT&T,,179.99,179.99,"Global Modem USB800",//www.att.com/catalog/en/skus/images/at%26t-global%20modem%20usb800-black-450x350.png,sku9651009,//www.att.com/devices/att/att-global-modem-usb800.html#sku=sku9651009,"AT&T Global Modem USB800",8148,2.8936,prod10330268,network,/shopmobile/devices/att/att-global-modem-usb800.html#sku=sku9651009,//www.att.com/devices/att/att-global-modem-usb800.html#sku=sku9651009,"A simple, secure USB modem driven by LTE technology which is easy-to-use - just plug it in and connect. The AT&T Global Modem USB800 provides a single LTE connection for people on-the-go who want a secure connection in an attractive design.",179.99,//www.att.com/buy/connected-devices-and-more/att-global-modem-usb800-black.html
Samsung,"Samsung Galaxy S22 Ultra - 512GB ",1299.99,1299.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-green-450x350.png,sku2490237,//www.att.com/tablets/ipad/apple-ipad-pro-11-inch-2021.html#sku=sku1240034,"Samsung Galaxy S22 Ultra",1078014,0,prod10490234,pda,/shopmobile/tablets/ipad/apple-ipad-pro-11-inch-2021.html#sku=sku1240034,//www.att.com/tablets/ipad/apple-ipad-pro-11-inch-2021.html#sku=sku1240034,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1299.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-512gb-green.html
